[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon
FILEOPENTIME,3720425186.1401,11/21/2017,11:27 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Pd,SAMPLE_MATERIAL
INFO,Using only *one* torlon,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720425242.89997,300.005035400391,10000.087890625,,,6,,,,39.8807718010126,,,1,,,,,,,,,,,,,,,,,,,,,,299.988861083984,300.017883300781,10000.087890625,10000.087890625,,,6.97533464431763,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,299.992797851562,0,300.005017089844,,,-0.000110668952354932,5.76002846183358E-6,-0.000110685618821174,5.76005749501533E-6,0.714137256145477,0.714605271816254,39.8198471069336,0.196989670395851,30,4,200,-0.00034844918991439,-0.602006018161774,0.0516139417886734,1,,,,,,,,,,,,,,,,
,3720425528.77017,291.704833984375,10000.087890625,,,6,,,,39.8443777130912,,,1,,,,,,,,,,,,,,,,,,,,,,291.688568115234,291.760314941406,10000.087890625,10000.087890625,,,6.97481060028076,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,291.689147949219,0,291.729102240668,,,-0.000108184889054087,5.653903017717E-6,-0.000108224022246859,5.65399715038655E-6,0.701292097568512,0.702346265316009,39.9378929138184,0.197804003953934,30,4,200,-0.000635958567727357,-0.650602698326111,-0.00305686960928142,1,,,,,,,,,,,,,,,,
,3720425778.78514,283.749862670898,10000.087890625,,,6,,,,39.813528493238,,,1,,,,,,,,,,,,,,,,,,,,,,283.722930908203,283.808471679687,10000.087890625,10000.087890625,,,6.95292949676514,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,283.723510742187,0,283.773681640625,,,-0.00010639188614346,5.5843683339636E-6,-0.000106470343960332,5.58454166044868E-6,0.68840092420578,0.690455257892609,39.9470825195313,0.19862562417984,30,4,200,-0.000462268944829702,-0.66761714220047,-0.0255201105028391,1,,,,,,,,,,,,,,,,
,3720426020.1011,275.810653686523,10000.087890625,,,6,,,,39.782976290683,,,1,,,,,,,,,,,,,,,,,,,,,,275.781921386719,275.872528076172,10000.087890625,10000.087890625,,,6.93110513687134,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,275.786407470703,0,275.828559027778,,,-0.000104758565711764,5.52215988107921E-6,-0.000104885210247066,5.52243712367254E-6,0.676319897174835,0.679542362689972,39.9538497924805,0.199505284428597,30,4,200,7.54615484765964E-6,-0.681790769100189,-0.0451474711298943,1,,,,,,,,,,,,,,,,
,3720426259.31355,267.844100952148,10000.087890625,,,6,,,,39.7523934146984,,,1,,,,,,,,,,,,,,,,,,,,,,267.823394775391,267.898010253906,10000.087890625,10000.087890625,,,6.91102075576782,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,267.82373046875,0,267.867757161458,,,-0.000102901304211165,5.45583699975722E-6,-0.000103117768226004,5.45632227421548E-6,0.66073203086853,0.666033029556274,39.977222442627,0.200666964054108,30,4,200,-0.000275589642114937,-0.696512877941132,-0.0635037496685982,1,,,,,,,,,,,,,,,,
,3720426486.98407,259.843475341797,10000.087890625,,,6,,,,39.7160409470499,,,1,,,,,,,,,,,,,,,,,,,,,,259.821472167969,259.889709472656,10000.087890625,10000.087890625,,,6.89008951187134,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,259.830474853516,0,259.859456380208,,,-0.000101029380924535,5.3958219576236E-6,-0.000101383680334984,5.39665034947397E-6,0.642334699630737,0.650619447231293,40.0052337646484,0.202131316065788,30,4,200,0.000450473016826436,-0.70606917142868,-0.0777198076248169,1,,,,,,,,,,,,,,,,
,3720426729.82181,251.860687255859,10000.087890625,,,6,,,,39.6753647212342,,,1,,,,,,,,,,,,,,,,,,,,,,251.83723449707,251.919967651367,10000.087890625,10000.087890625,,,6.8651442527771,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,251.840957641602,0,251.880839538574,,,-9.90388822366365E-5,5.33814707914264E-6,-9.9646149541819E-5,5.33951409867297E-6,0.6208655834198,0.63441276550293,40.0570793151855,0.204001232981682,30,4,200,3.83632650482468E-5,-0.721333205699921,-0.0958990976214409,1,,,,,,,,,,,,,,,,
,3720426973.2868,243.865043640137,10000.087890625,,,6,,,,39.6394200606254,,,1,,,,,,,,,,,,,,,,,,,,,,243.843566894531,243.912231445313,10000.087890625,10000.087890625,,,6.83819103240967,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,243.848876953125,0,243.880596584744,,,-9.74869059764269E-5,5.30132234526304E-6,-9.84085827470617E-5,5.30333223686248E-6,0.601500272750855,0.62122505903244,40.1127395629883,0.205818012356758,30,4,200,-9.32799885049462E-5,-0.741550266742706,-0.117130115628242,1,,,,,,,,,,,,,,,,
,3720427205.38597,235.855361938477,10000.087890625,,,6,,,,39.6036867583839,,,1,,,,,,,,,,,,,,,,,,,,,,235.83479309082,235.901626586914,10000.087890625,10000.087890625,,,6.80952024459839,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,235.837463378906,0,235.87316555447,,,-9.55742181988294E-5,5.25493362862937E-6,-9.68916824519471E-5,5.25787239262098E-6,0.579108655452728,0.605978786945343,40.1726760864258,0.208157509565353,30,4,200,-6.08955542702461E-6,-0.760820806026459,-0.139680847525597,1,,,,,,,,,,,,,,,,
,3720427441.00565,227.869407653809,10000.087890625,,,6,,,,39.5618477503485,,,1,,,,,,,,,,,,,,,,,,,,,,227.843292236328,227.911895751953,10000.087890625,10000.087890625,,,6.77876615524292,-99999999,1,0,0,0,0,29.8142719268799,1,1,1,227.856353759766,0,227.879406738281,,,-9.36015909344576E-5,5.21483489442612E-6,-9.54649245762113E-5,5.21899449249548E-6,0.554375052452087,0.590507030487061,40.2427177429199,0.21089580655098,30,4,200,-3.72640388377476E-5,-0.774049997329712,-0.154312402009964,1,,,,,,,,,,,,,,,,
