[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,Pd with one Torlon [Background Data]
FILEOPENTIME,3720439357.30168,11/21/2017,3:23 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Torlon,SAMPLE_MATERIAL
INFO,Background data: One Torlon offcentered, used in Pd with one Torlon,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720439433.23417,299.996398925781,10000.1865234375,,,6,,,,39.6060001694262,,,1,,,,,,,,,,,,,,,,,,,,,,299.989044189453,300.003753662109,10000.1865234375,10000.1865234375,,,6.74624919891357,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,299.993347167969,0,299.996813964844,,,-0.000224023577628388,1.39357324633592E-5,-0.000281710435458073,1.40689649707278E-5,0.402369767427444,0.9486945271492,37.227165222168,0.235830515623093,30,4,200,0.118269607424736,-0.517214834690094,1.39055478572845,1,,,,,,,,,,,,,,,,
,3720439712.84036,291.661254882812,10000.1865234375,,,6,,,,39.5698524227932,,,1,,,,,,,,,,,,,,,,,,,,,,291.635040283203,291.717102050781,10000.1865234375,10000.1865234375,,,6.67479228973389,-99999999,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,291.631652832031,0,291.685245090061,,,-0.000225992567835433,1.39445411528659E-5,-0.000282053202553524,1.40736663119371E-5,0.411240190267563,0.970484972000122,37.2236366271973,0.233912214636803,30,4,200,2.15669342651381E-6,0.113034605979919,1.49143636226654,1,,,,,,,,,,,,,,,,
,3720439957.7418,283.692230224609,10000.1865234375,,,6,,,,39.539180802758,,,1,,,,,,,,,,,,,,,,,,,,,,283.664123535156,283.752471923828,10000.1865234375,10000.1865234375,,,6.61474180221558,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,283.663299560547,0,283.717210557726,,,-0.000223503783800938,1.39233481081594E-5,-0.00028174323059681,1.40582437772646E-5,0.400831639766693,0.970373272895813,37.1451377868652,0.236169755458832,30,4,200,-0.000473405467346311,0.0991695150732994,1.47818100452423,1,,,,,,,,,,,,,,,,
,3720440192.54732,275.804885864258,10000.1865234375,,,6,,,,39.5085813499312,,,1,,,,,,,,,,,,,,,,,,,,,,275.784912109375,275.858551025391,10000.1865234375,10000.1865234375,,,6.56827592849731,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,275.786651611328,0,275.828362358941,,,-0.000220819714962727,1.3908855921827E-5,-0.000281563157749521,1.40491750578707E-5,0.389261692762375,0.970573961734772,37.0606880187988,0.238801419734955,30,4,200,-0.000694711168762296,0.0599145404994488,1.43912971019745,1,,,,,,,,,,,,,,,,
,3720440424.53209,267.846389770508,10000.1865234375,,,6,,,,39.4825054855205,,,1,,,,,,,,,,,,,,,,,,,,,,267.830474853516,267.901489257813,10000.1865234375,10000.1865234375,,,6.52776527404785,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,267.831909179687,0,267.870676676432,,,-0.000218218877237387,1.38875107003592E-5,-0.000281260912979683,1.40341939825114E-5,0.378872156143188,0.970346868038178,36.9863166809082,0.24128569662571,30,4,200,-0.000808332173619419,0.0155782541260123,1.39259934425354,1,,,,,,,,,,,,,,,,
,3720440666.73113,259.869873046875,10000.1865234375,,,6,,,,39.4517224089337,,,1,,,,,,,,,,,,,,,,,,,,,,259.842529296875,259.926818847656,10000.1865234375,10000.1865234375,,,6.49141407012939,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,259.844268798828,0,259.891523573134,,,-0.00021636333356043,1.38651335214507E-5,-0.000280887674308365,1.40156807239608E-5,0.372106403112412,0.970074653625488,36.9237785339355,0.242966800928116,30,4,200,-0.000430620915722102,-0.0232218448072672,1.35312116146088,1,,,,,,,,,,,,,,,,
,3720440900.16235,251.875190734863,10000.1865234375,,,6,,,,39.416262273719,,,1,,,,,,,,,,,,,,,,,,,,,,251.8505859375,251.924285888672,10000.1865234375,10000.1865234375,,,6.45713138580322,-99999999,1,0,0,0,0,30.7917900085449,1,1,1,251.859619140625,0,251.890526665582,,,-0.000214873524217413,1.38556491698997E-5,-0.000280754362299113,1.40092504857897E-5,0.36616587638855,0.969545364379883,36.8600654602051,0.244501635432243,30,4,200,0.000215499618207105,-0.0583957061171532,1.31711828708649,1,,,,,,,,,,,,,,,,
,3720441138.90919,243.86466217041,10000.1865234375,,,6,,,,39.3799481371599,,,1,,,,,,,,,,,,,,,,,,,,,,243.839782714844,243.91716003418,10000.1865234375,10000.1865234375,,,6.42467641830444,-99999999,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,243.842559814453,0,243.885109795464,,,-0.000213654464952972,1.38329840356729E-5,-0.000280335345665631,1.39883433382067E-5,0.362367689609528,0.969538331031799,36.8058586120605,0.245498672127724,30,4,200,-0.000586914422456175,-0.088548831641674,1.28467965126038,1,,,,,,,,,,,,,,,,
,3720441376.5533,235.869529724121,10000.1865234375,,,6,,,,39.3388460380791,,,1,,,,,,,,,,,,,,,,,,,,,,235.850204467773,235.914657592773,10000.1865234375,10000.1865234375,,,6.39219236373901,-99999999,1,0,0,0,0,31.2805480957031,1,1,1,235.856063842773,0,235.883741760254,,,-0.000212862059206435,1.38163543789884E-5,-0.000280017680489729,1.39726415664435E-5,0.360039532184601,0.969200909137726,36.7537422180176,0.246116921305656,30,4,200,-0.000444586097728461,-0.116714142262936,1.25548553466797,1,,,,,,,,,,,,,,,,
,3720441613.44771,227.872062683105,10000.1865234375,,,6,,,,39.3034725536068,,,1,,,,,,,,,,,,,,,,,,,,,,227.848129272461,227.917526245117,10000.1865234375,10000.1865234375,,,6.35969257354736,-99999999,1,0,0,0,0.013885498046875,30.7917900085449,1,1,1,227.852874755859,0,227.886964586046,,,-0.0002121405595168,1.38137419242936E-5,-0.000280012319127163,1.39718681479344E-5,0.357097655534744,0.970400512218475,36.7033004760742,0.246912926435471,30,4,200,-0.00032978318631649,-0.142007067799568,1.23010182380676,1,,,,,,,,,,,,,,,,
